Abbrev,Name,Count,Jurisdiction,Citation Abbrev,Start Date,End Date,In Use,Last Modified
washag,Washington Attorney General Reports,0,State Attorney General,Wash. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:13
wva,West Virginia Supreme Court,11268,State Supreme,W. Va.,Unknown,Unknown,Yes,2013-08-14T09:46
wis,Wisconsin Supreme Court,13221,State Supreme,Wis.,Unknown,Unknown,Yes,2013-08-14T09:46
wisctapp,Court of Appeals of Wisconsin,11625,State Appellate,Wis. Ct. App.,Unknown,Unknown,Yes,2013-09-08T18:29
wisag,Wisconsin Attorney General Reports,0,State Attorney General,Wis. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:15
wyo,Wyoming Supreme Court,7166,State Supreme,Wyo.,Unknown,Unknown,Yes,2013-08-14T09:46
usjc,United States Judicial Conference Committee,5,Committee,U.S.J.C.,Unknown,Unknown,Yes,2013-08-14T15:40
jpml,United States Judicial Panel on Multidistrict Litigation,1122,Committee,J.P.M.L.,Unknown,Unknown,Yes,2013-08-15T17:19
stp,United States Special Tribunal of Pennsylvania,1,Committee,Special Tribunal of Pa.,Unknown,Unknown,Yes,2014-11-24T09:07
kingsbench,Court of King's Bench,0,International,King's Bench,1200-01-01,1873-12-31,Yes,2016-05-18T10:52
